case_key,case_name_abbreviation,dissent_ind,majority_word_count,dissent_word_count,officialcitation,issuearea,majvotes,minvotes,kldiv_score,d2v_cosdist_score,sbert_cosdist_score,legalbert_cosdist_score,year,voyage3_cosdist,voyagelaw_cosdist,z_kldiv,z_d2v,z_voyage3,composite_div
a5620,Walton v. Arizona,1,4608,849,497 U.S. 639,1,5,4,2.6376536,.43562049,.16594531,.031351209,1990,.59888119,.49303395,.73688006,1.2129732,2.2671795,1.4056776
a5620,Walton v. Arizona,2,4608,11111,497 U.S. 639,1,5,4,.27460235,.16046214,.0221228,.0046018362,1990,.18410206,.86807102,-1.0359401,-.88251507,-.93369544,-.95071685
a5620,Walton v. Arizona,3,4608,3618,497 U.S. 639,1,5,4,1.1055319,.35781425,.078372598,.012593627,1990,.32288021,.26484776,-.41255593,.62043422,.13726375,.11504734
a5621,United States v. Kokinda,1,4576,8498,497 U.S. 720,3,5,4,.72044992,.071993649,.0335287,.0033620596,1990,.17640346,.10229075,-.7014541,-1.5562533,-.99310595,-1.0836045
a5622,Lewis v. Jeffers,1,5998,7046,497 U.S. 764,1,5,4,1.1000296,.1345446,.028733401,.0051183701,1990,.13894409,.093607783,-.41668394,-1.079892,-1.2821821,-.92625272
a5623,Idaho v. Wright,1,6045,2660,497 U.S. 805,1,5,4,.38080171,.20110303,.042088699,.0064229369,1990,.22570479,.16499716,-.9562667,-.57301146,-.61264473,-.7139743
a5624,Maryland v. Craig,1,6950,3293,497 U.S. 836,1,5,4,2.7305901,.23734844,.0478695,.014850378,1990,.20061928,.16632313,.80660337,-.29698193,-.80623108,-.098869883
a5625,Lujan v. National Wildlife Federation,1,8589,5641,497 U.S. 871,9,5,4,.68821895,.19256586,.041018099,.0066207647,1990,.23907918,.15350825,-.72563457,-.63802689,-.50943375,-.62436509
a563,Sinkler v. Missouri Pacific Railroad,1,1771,732,356 U.S. 326,8,7,2,2.1608126,.34668124,.11361504,.024247825,1958,.32448024,.2894786,.37914202,.53564996,.14961125,.35480106
a5632,Sutton v. Tennessee,1,421,51,497 U.S. 1031,,,,6.8466935,.35979533,.80420488,.19379818,1990,.50462306,.62062919,3.8946071,.63552129,1.5397841,2.0233042
a564,National Labor Relations Board v. Wooster Division of Borgwarner Corp.,1,2460,3852,356 U.S. 342,7,5,4,1.2115024,.1604069,.058965798,.011545777,1958,.17316324,.15790844,-.33305421,-.88293576,-1.018111,-.74470031
a5648,"Palmer v. BRG of Georgia, Inc.",1,1303,129,498 U.S. 46,8,7,1,5.7615275,.64028597,.37756291,.091947734,1990,.75549847,.74658239,3.0804884,2.7716181,3.4758043,3.1093037
a5649,FMC Corp. v. Holliday,1,3737,2126,498 U.S. 52,10,7,1,.6482237,.2223689,.051123999,.0094032884,1990,.20953733,.13618344,-.75564003,-.41105971,-.73740995,-.63470322
a565,Yates v. United States,1,1240,58,356 U.S. 363,1,6,3,1.6095352,.44457471,.42737746,.0778355,1958,.62147337,.61971939,-.03444007,1.2811648,2.4415247,1.2294165
a5652,Moskal v. United States,1,4443,4535,498 U.S. 103,1,5,3,2.0738454,.26671886,.1113496,.011741281,1990,.21914816,.21861774,.31389704,-.07330931,-.66324258,-.14088495
a5653,Minnick v. Mississippi,1,2898,3664,498 U.S. 146,1,6,2,.67080313,.1846194,.058233138,.008603394,1990,.20566744,.2222324,-.73870039,-.69854379,-.76727414,-.73483944
a5654,In re Sindram,1,1167,642,498 U.S. 177,2,6,3,2.096674,.6539982,.2465874,.04868567,1991,.42790657,.33598763,.3310236,2.8760445,.94775838,1.3849422
a5654,In re Sindram,2,1167,267,498 U.S. 177,2,6,3,1.3567696,.3208653,.20183516,.039570928,1991,.29900569,.35984308,-.22407119,.33904684,-.046977345,.0226661
a5655,Cheek v. United States,1,4940,337,498 U.S. 192,1,6,2,1.7421899,.34443444,.1520512,.02503407,1991,.3001942,.31326342,.065080777,.51853931,-.037805494,.1819382
a5656,Board of Education v. Dowell,1,3705,5986,498 U.S. 237,2,5,3,.44921258,.19086429,.049293641,.006270647,1991,.29324925,.15335608,-.90494311,-.6509853,-.091400117,-.54910952
a5659,Parker v. Dugger,1,4153,3838,498 U.S. 308,1,5,4,.96512204,.13910951,.04557455,.0087838173,1991,.19500917,.11071581,-.51789492,-1.0451276,-.84952462,-.80418241
